jahr	Basel-Stadt	Basel-Landschaft	Aargau	Schweiz
2000	5.79222342534906	4.47862610636747	3.16575018918607	4.05578955175159
2001	5.52809288215536	4.3571500929228	3.18873406448506	4.09128367088358
2002	5.38325537331494	4.46546624804496	3.33215170318839	4.18110089845365
2003	5.18859995265883	4.57282511272898	3.45447923439792	4.17836309633791
2004	5.09260246011585	4.67350094544895	3.56873197243352	4.19647521365578
2005	5.04320373937012	4.69461924169399	3.62959253737355	4.18121293633543
2006	4.69118719453356	4.54386115803267	3.59554473409851	4.04873347425358
2007	4.5154805196623	4.47055805135786	3.62586434724367	3.98625583364237
2008	4.59049569668237	4.48371571886935	3.70660660787284	4.05173784572166
2009	4.38899108789325	4.63137859256821	3.74368609968112	4.06851559285584
2010	4.26808784288086	4.73761963197996	3.78213928829799	4.14531172012182
2011	4.17049802689973	4.92427040284353	3.79353543606173	4.17685972897897
2012	4.2019094466236	4.88751667477373	3.68968926705445	4.22881574651297
2013	4.06066236875508	4.72812700819937	3.46543393221746	4.1168820845486
2014	3.97253971232925	4.68429714580129	3.43147537882335	4.08373201612184
2015	3.86658686586381	4.59352151376296	3.39022735101149	4.01683205204465
