Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert	 Total
2011	51.90650685	52.66595637	113	17.48270548	57.75691158
2012	47.56625683	54.17980244	112.2278689	12.52795292	57.96592979
2013	51.43038605	53.63780822	107.8541096	11.96621005	58.99905822
2014	55.93648817	54.112	100.286758	13.34383562	61.0422089
2015	66.54221669	55.57731507	101.9147641	15.82294521	65.84591251
2016	72.27759563	56.66656158	95.88615665	20.78333333	64.52954235
2017	74.63287671	63.34257113	98.761805	28.99863014	68.00261328
2018	73.13150685	64.22202318	100.3250604	28.9260274	68.51886196
2019	78.7500761	67.60317808	95.90030441	31.08667497	70.90458795
2020	56.2498482	52.9886339	80.0333621	27.5692168	56.6527533
Ø 2011-2020	62.8423758	57.4995850	100.6190189	20.8507532	63.0218380

