"Jahr"	"Basel"	"Bern"	"Genf"	"Lausanne"	"Winterthur"	"Zürich"	"Schweiz"
1989	0.3	0.1	0.4	0.2	0.1	0.0	0.4
1990	0.2	0.1	0.3	0.2	0.1	0.0	0.4
1991	0.2	0.1	0.8	0.1	0.1	0.1	0.6
1992	0.2	0.2	1.0	0.4	0.2	0.2	0.7
1993	0.2	0.3	1.8	0.9	0.2	0.3	0.9
1994	0.3	0.4	2.1	1.2	0.6	0.3	1.2
1995	0.5	0.5	1.7	2.2	0.8	0.4	1.4
1996	0.8	0.6	1.9	2.2	0.9	0.4	1.6
1997	1.3	0.7	2.0	2.4	0.9	0.6	1.8
1998	1.6	0.9	2.0	1.7	1.5	0.4	1.8
1999	1.6	0.9	1.6	1.1	1.5	0.3	1.7
2000	1.4	0.7	1.0	0.8	1.2	0.1	1.5
2001	1.5	0.5	0.4	0.4	0.5	0.1	1.3
2002	1.4	0.3	0.3	0.1	0.4	0.0	1.0
2003	1.5	0.3	0.2	0.2	0.2	0.1	0.9
2004	1.5	0.5	0.1	0.2	0.7	0.1	0.9
2005	1.6	0.5	0.2	0.3	0.3	0.1	1.0
2006	1.4	0.5	0.1	0.2	0.5	0.1	1.1
2007	1.4	0.4	0.2	0.3	0.5	0.1	1.1
2008	1.2	0.4	0.2	0.1	0.1	0.0	1.0
2009	0.9	0.6	0.2	0.1	0.3	0.1	0.9
2010	0.8	0.5	0.3	0.2	0.4	0.1	0.9
2011	0.5	0.5	0.3	0.1	0.2	0.1	0.9
2012	0.5	0.4	0.3	0.1	0.2	0.1	0.9
2013	0.3	0.4	0.4	0.2	0.2	0.1	1.0
2014	0.2	0.5	0.4	0.1	0.2	0.2	1.1
2015	0.3	0.4	0.5	0.1	0.6	0.2	1.2
2016	0.4	0.5	0.5	0.3	0.6	0.2	1.3
2017	0.5	0.6	0.6	0.4	0.7	0.2	1.5
2018	0.7	0.5	0.6	0.7	0.6	0.2	1.6
2019	1.0	0.6	0.6	"."	0.8	0.1	"."

