""	"Verarbeitendes Gewerbe"	"Bau, Energie und Wasser"	"Grosshandel"	"Detailhandel"	"Verkehr und Lagerei"	"Information, Kommunikation"	"Gastronomie, Hotellerie"	"Finanzen, Versicherung, Immobilien"	"Unternehmens-DL, Freiberufe"	"Sonstige DL"	"Öff. Verwaltung, Bildung"	"Gesundheits-, Sozialwesen"	"Kunst, Unterhaltung, Sport"	"Schönheitspflege, sonst. pers. DL"	"Übrige Branchen"
"Innenstadt: 2011"	138	72	115	691	52	205	316	309	796	327	229	597	183	288	13
"Innenstadt: 2012"	143	72	120	675	59	207	307	312	849	312	226	610	195	305	13
"Innenstadt: 2013"	141	76	120	673	56	215	306	293	854	330	231	609	205	323	11
"Innenstadt: 2014"	145	76	121	654	61	224	298	310	905	315	233	626	210	319	12
"Innenstadt: 2015"	148	74	120	648	59	224	299	314	915	305	240	657	217	328	10
"Innenstadt: 2016"	140	59	114	628	52	210	297	298	915	299	246	683	207	335	11
"Innenstadt: 2017"	147	60	111	615	45	211	303	287	930	295	245	698	213	335	12
"Innenstadt: 2018"	150	62	92	600	46	198	296	276	935	309	244	714	205	332	9
"Innenstadt: 2019"	148	57	92	592	41	214	296	284	946	296	253	710	203	340	7
"Innenstadt: 2020"	141	62	84	569	39	221	304	271	942	309	244	705	204	328	6
"Innenstadt: 2021"	143	65	89	551	39	218	300	285	939	311	246	746	203	338	6
"Stadt Basel: 2011"	631	768	501	1531	630	812	768	959	2702	1063	857	2071	993	824	156
"Stadt Basel: 2012"	626	773	503	1502	646	842	771	983	2801	1041	870	2116	1050	831	152
"Stadt Basel: 2013"	616	790	480	1473	632	842	782	958	2866	1078	875	2149	1090	865	147
"Stadt Basel: 2014"	634	802	483	1447	615	883	801	990	3096	1090	896	2247	1221	884	147
"Stadt Basel: 2015"	638	802	475	1428	599	878	799	964	3156	1061	921	2316	1288	888	139
"Stadt Basel: 2016"	623	780	440	1391	582	870	791	933	3155	1065	917	2345	1270	893	146
"Stadt Basel: 2017"	626	755	412	1375	564	860	807	919	3176	1084	920	2362	1246	891	140
"Stadt Basel: 2018"	614	748	362	1316	552	852	786	890	3232	1101	924	2362	1241	879	132
"Stadt Basel: 2019"	622	756	348	1282	524	908	789	906	3252	1107	982	2423	1256	914	134
"Stadt Basel: 2020"	605	766	345	1251	496	923	796	894	3265	1144	980	2380	1264	931	132
"Stadt Basel: 2021"	611	757	356	1243	480	926	792	913	3337	1172	1033	2450	1291	940	137

