	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich	15.4	36.3	6.8	1.1	35.7	4.7
Weiblich	20.6	35.5	5.7	1	34.1	3.1
*Haushaltseinkommen						
<3 000 Fr.	22	37.9	6	1.7	25.4	6.9
3 000-7 499 Fr.	17.9	38.8	6.5	1	31.6	4.3
>7 499 Fr.	14.7	31.4	5.5	0.9	45.8	1.7
*Wahlkreis						
Grossbasel Ost	17	36.1	4.8	1.7	36.7	3.7
Grossbasel West	16.3	35.8	6.8	0.7	37.3	3
Kleinbasel	15.9	31.2	8.6	1.4	37.8	5.1
Riehen, Bettingen	28.7	38.9	4.2	0	23.4	4.9
*Haushaltsform						
Single-HH	17.2	36.4	5.7	1.5	34.5	4.6
Übrige HH o. K.	20.7	36.1	6.8	1	32.4	3
HH m. mind. 1 K.	15.7	33.9	6.2	0	40.3	3.9
*Alter						
18-29 Jahre	11.6	24.6	4.3	0.7	55.8	2.9
30-39 Jahre	9.7	22.4	4	1	60.9	2
40-49 Jahre	13.3	29.9	5.4	1	48	2.4
50-59 Jahre	12.8	35.8	8.7	1.2	37.8	3.8
60-69 Jahre	23.4	41.3	6	0	24.8	4.6
>69 Jahre	29	46.8	6.5	1.8	10.5	5.4
*Staatsangehörigkeit						
Schweiz	19.7	37.6	6.4	1	31.6	3.8
Ausland	13.5	28.3	5.4	1.2	47.4	4.2
*Befragungsjahr						
2003	12	50.7	13	1.2	23.1	0
2005	10.1	50.5	12.9	1.1	25.3	0
2007	8.7	52.8	10	0.4	28.1	0
2011	22.3	48.8	9.2	0.6	18.6	0.5
2015	18.6	54	7.3	0.5	19.6	0
2019	18.4	35.5	6.2	1	35	3.9

