	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Trifft auf mich nicht zu	Weiss nicht	Keine Angabe
Tagsüber: Alleine zu Hause	1092	274	16	1	3	10	14
Tagsüber: Alleine im Quartier	938	398	33	8	2	11	20
Tagsüber: Alleine zu Fuss	887	419	56	7	2	14	25
Tagsüber: Alleine mit dem Velo	459	298	46	17	12	477	101
Tagsüber: Alleine mit dem Bus/Tram	846	458	43	7	6	27	23
.							
Nachts: Alleine zu Hause	830	471	66	12	1	9	21
Nachts: Alleine im Quartier	345	611	281	77	6	57	33
Nachts: Alleine zu Fuss	265	550	363	121	5	69	37
Nachts: Alleine mit dem Velo	262	362	137	35	10	522	82
Nachts: Alleine mit dem Bus/Tram	343	620	260	74	7	76	30
